ERROR,STD_SMILES
COccccC=CSC=S)NCC=O)O)))C5=O)))))))cc6OCccccCl)cc6Cl,CCccccOC))cC)c6
CS=O)=O)cccccS=O)=O)ccccNC=O)CCC3ccccnc6)))))))))))cc6)))))))c6,CNccccS=O)=O)cccccSC)=O)=O))c6)))))))cc6
Ncccccc6NC=O)ccccCNC=O)ccccnccc6[nH]9))))))))))))cc6,CC=O)ccccnccc6[nH]9
CcncC)cC=Ccccccc6Cl)))))))))nc6C,CCcccccc6Cl
COccc-ccccF)cF)c6))))))cF)cc6-nccccc6=O))))CNS=O)=O)Nccccnn6))))))))CC6,COcccC)cF)cc6C
O=CNCCcc[nH]cccccc96))))))))))))cccco5,CNCCcc[nH]cccccc96
O=CNCCCNCCNcccccc6OCC5)))))))))CC6))))))))))ccnnccccc96,CC=O)ccnnccccc96
COccccccCC)C=O)OCCSC)=O)=O)))))))ccc6c%10,COCCSC)=O)=O
CcccS=O)=O)O))cC)n5-ccccF)cc6,CccccF)cc6
Cccsc=NCCCCCC6)))))))n5N=CccccO)cO)c6O,CN=CccccO)cO)c6O
Cnnccc5-ccccOccccS=O)=O)Ncnccs5)))))))cc6C#N)))))))))cn6,CccccSC)=O)=O))cc6C#N
COccccCO)ccc-cncncccNCCOCC6))))))ccc%106))))))))))cF)cc6Cl))))))))nn6,COccccCO)cccC)cF)cc6Cl))))))))nn6
Ccccccc6NCC=O)NN=Ccccc[nH]5,Ccccccc6C
CC=O)Nccccc-cccncncSCC=O)O))))c6s9)))))))))c6,CC=O)CScncncccC)sc95
CCCCCCCCCCCCCCCCCC=O)OCCC=O)O)))C[N+]C)C)C.[Cl-],CCCCCCCCCCCCCCCCCCC)=O
ccsc-ccncscNCCCCOCC6))))))))nn85))))))))c5,CcnncC)cnc5s8
CCC)COcncc-ccnC)cccC=O)NS=O)=O)NC)C)))))ccc96)))))))))cc6Cl,CC=O)cccccC)cnC)c5c9
Ncnc-cccccn6))))))ncN)c6CccccCl)cc6Cl,CcncN)cCccccCl)cc6Cl))))))))cN)n6
CnccNcnccCl)cNCCCCCC5)C6CN)=O)))))))))n6)))))))cn5,CCCCCCC5)C6CN)=O
Cc[nH]n-cccccc6))))))c=O)c5C=NNC=O)cccccc6O))))))))))cccccc6,CC=O)cccccc6O
O=CO)CC=CCCCO)CCO)C5C=CCO)COcccccCF)F)F))c6,CcccccCF)F)F))c6
CCCCOCCnccC=O)NCccccF)cc6F))))))))))c=O)cO)c6C=O)N%14%10,CC=O)ccnccO)c6=O)))C=O)NCC)CCOC6C%10
CCOCCCNC=S)SSC=S)NCCOCCOCC))))C6))))))))))CCO6,CCOCCCNC)CCO6
CScnc-cccOCCNCCCC5))))))))cCl)cc6Cl)))))))ccC#N))c[nH]c5n9,CcccC)cCl)cc6Cl
COcccccOC))c6OC))))-ccccO)cc6CNCC)=O)))CC%11,CNCCCcccOC))cOC))cOC))c6-ccccO)cc6%15
Ccccc-cncCS=O)CC=O)NCCCCCC6)))))))))))cC)o5)))))cc6,CC=O)CS=O)CcncC)oc5C
CCOCC)C)C)))CNC=O)OCcccccc6))))))))))C=O)O,CCcccccc6
COcccccCCcccccc6OCCNCCNccccF)cc6))))))CC6)))))))))))))))))c6,CccccF)cc6
CCOC=O)CCccnC)cccccc96))))))))))NC=O)CN)CCC)C.Cl,CNCCccnC)cccccc96))))))))))CC)=O
