NAME,DRUG SMILES,FRAG_SMILES,docking score ,Molecular Weight,LogP,#Rotatable Bonds,#Acceptors,#Donors,Surface Area,"Absorption
Water solubility","Absorption
Caco2 permeability","Absorption
Intestinal absorption (human)","Absorption
Skin Permeability","Absorption
P-glycoprotein substrate","Absorption
P-glycoprotein I inhibitor","Absorption
P-glycoprotein II inhibitor","Distribution
VDss (human)","Distribution
Fraction unbound (human)","Distribution
BBB permeability","Distribution
CNS permeability","Metabolism
CYP2D6 substrate","Metabolism
CYP3A4 substrate","Metabolism
CYP1A2 inhibitior","Metabolism
CYP2C19 inhibitior","Metabolism
CYP2C9 inhibitior","Metabolism
CYP2D6 inhibitior","Metabolism
CYP3A4 inhibitior","Excretion
Total Clearance","Excretion
Renal OCT2 substrate","Toxicity
AMES toxicity","Toxicity
Max. tolerated dose (human)","Toxicity
hERG I inhibitor","Toxicity
hERG II inhibitor","Toxicity
Oral Rat Acute Toxicity (LD50)","Toxicity
Oral Rat Chronic Toxicity (LOAEL)","Toxicity
Hepatotoxicity","Toxicity
Skin Sensitisation","Toxicity
T.Pyriformis toxicity","Toxicity
Minnow toxicity"
Daunorubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3C,-8.9,396.395,2.2516,2,7,3,166.107,-4.001,0.472,82.185,-2.736,Yes,No,No,0.531,0.123,-1.124,-3.107,No,No,No,No,No,No,No,0.058,No,Yes,0.628,No,No,2.556,2.427,No,No,0.292,2.03
Doxorubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3C,-8.2,412.394,1.224,3,8,4,170.901,-3.782,0.396,72.25,-2.735,Yes,No,No,0.652,0.114,-1.225,-3.447,No,No,No,No,No,No,No,0.058,No,Yes,0.816,No,No,2.529,3.314,No,No,0.285,2.631
Epirubicin,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3C,-8.2,412.394,1.224,3,8,4,170.901,-3.782,0.396,72.25,-2.735,Yes,No,No,0.652,0.114,-1.225,-3.447,No,No,No,No,No,No,No,0.058,No,Yes,0.816,No,No,2.529,3.314,No,No,0.285,2.631
Mitoxantrone,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,CCCNc1ccc(C)c2c1C(=O)c1c(O)ccc(O)c1C2=O,-8.2,311.337,3.00352,3,5,3,133.134,-3.367,0.879,94.492,-2.784,Yes,No,No,0.503,0.199,-0.828,-2.182,No,No,Yes,No,No,No,No,0.166,No,Yes,0.482,No,No,2.064,1.37,No,No,0.494,1.905
Idarubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](C)C1)C(=O)c1ccccc1C3=O,-8.8,366.369,2.243,1,6,3,154.629,-3.572,0.939,77.632,-2.735,Yes,Yes,No,0.521,0.115,-1.02,-3.097,No,No,No,No,No,No,No,0.176,No,Yes,0.64,No,Yes,2.693,2.49,Yes,No,0.29,1.552
Valrubicin,CCCCC(=O)OCC(=O)[C@]1(C[C@@H](C2=C(C1)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4OC)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O)NC(=O)C(F)(F)F)O,CCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](C)C1)C(=O)c1c(OC)cccc1C3=O,-8.3,410.422,2.6417,3,7,3,172.472,-3.476,0.995,73.456,-2.735,Yes,Yes,No,0.615,0.146,-1.238,-3.199,No,No,No,No,No,No,No,0.732,No,Yes,0.818,No,No,2.867,2.606,Yes,No,0.286,1.679
Aclarubicin,CC[C@]1(C[C@@H](C2=C(C3=C(C=C2[C@H]1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@@H]([C@@H](O6)C)O[C@H]7CCC(=O)[C@@H](O7)C)O)N(C)C)O,CC[C@@]1(O)C[C@H](C)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(C)=O,-8.6,394.423,3.1941,2,6,3,167.358,-4.249,1.226,83.979,-2.737,Yes,Yes,Yes,0.213,0.053,-0.915,-2.887,No,Yes,No,Yes,Yes,No,No,0.662,No,Yes,0.122,No,No,2.261,1.48,Yes,No,0.312,1.514
Pixantrone,C1=CC(=C2C(=C1NCCN)C(=O)C3=C(C2=O)C=NC=C3)NCCN,Cc1ccc(C)c2c1C(=O)c1ccncc1C2=O,-8.3,237.258,2.47384,0,3,0,104.485,-3.155,1.302,100,-2.321,No,No,No,0.114,0.259,0.416,-1.624,No,No,Yes,Yes,No,No,No,0.228,No,Yes,0.132,No,No,2.015,2.009,Yes,No,0.877,2.334
Amrubicin,CC(=O)[C@]1(C[C@@H](C2=C(C1)C(=C3C(=C2O)C(=O)C4=CC=CC=C4C3=O)O)O[C@H]5C[C@@H]([C@@H](CO5)O)O)N,CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](C)C1)C(=O)c1ccccc1C3=O,-8.9,365.385,2.2094,1,6,3,155.174,-3.679,0.931,77.415,-2.735,Yes,Yes,No,1.114,0.176,-0.998,-2.274,No,No,No,No,No,No,No,1.023,No,Yes,0.06,No,Yes,2.306,2.21,Yes,No,0.293,1.999
Zorubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(/C(=N/NC(=O)C6=CC=CC=C6)/C)O)N)O,CN/N=C(\C)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](C)C1)C(=O)c1c(OC)cccc1C3=O,-8.7,424.453,2.2579,3,8,4,178.726,-3.508,0.851,64.378,-2.735,Yes,Yes,No,0.824,0.156,-1.248,-3.194,No,No,No,No,No,No,No,0.445,No,Yes,0.685,No,No,3.005,2.465,Yes,No,0.288,4.33
Carubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)O)O)(C(=O)C)O)N)O,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](C)C1)C(=O)c1c(O)cccc1C3=O,-9.1,382.368,1.9486,1,7,4,159.423,-3.066,0.944,68.439,-2.735,Yes,No,No,0.87,0.188,-1.138,-3.253,No,No,No,No,No,No,No,0.121,No,Yes,1,No,No,2.652,2.788,Yes,No,0.285,1.916
Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,CNc1ccc(O)cc1,-5.3,123.155,1.4339,1,2,2,54.14,-1.396,1.247,92.021,-2.141,Yes,No,No,0.011,0.485,-0.159,-1.616,No,No,No,No,No,No,No,0.506,No,Yes,0.669,No,No,2.106,1.825,No,Yes,0.13,1.753
Aldoxorubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(/C(=N/NC(=O)CCCCCN6C(=O)C=CC6=O)/CO)O)N)O,CN/N=C(\CO)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](C)C1)C(=O)c1c(OC)cccc1C3=O,-7.8,440.452,1.2303,4,9,5,183.52,-3.259,0.711,58.86,-2.735,Yes,Yes,No,0.862,0.162,-1.408,-3.583,No,No,No,No,No,No,No,0.471,No,Yes,0.966,No,No,3.375,2.96,Yes,No,0.285,5.686
Annamycin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)CO)O)I)O)O,C[C@H]1C[C@](O)(C(=O)CO)Cc2c(O)c3c(c(O)c21)C(=O)c1ccccc1C3=O,-8,382.368,1.2154,2,7,4,159.423,-3.634,-0.188,69.691,-2.735,Yes,No,No,0.421,0.095,-1.178,-3.561,No,No,No,No,No,No,No,0.206,No,Yes,0.821,No,No,3.348,3.08,No,No,0.286,2.342
Sabarubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@@H](O[C@H](C[C@@H]2O)O[C@H]3C[C@@](CC4=C3C(=C5C(=C4O)C(=O)C6=CC=CC=C6C5=O)O)(C(=O)CO)O)C)N)O,C[C@H]1C[C@](O)(C(=O)CO)Cc2c(O)c3c(c(O)c21)C(=O)c1ccccc1C3=O,-8,382.368,1.2154,2,7,4,159.423,-3.634,-0.188,69.691,-2.735,Yes,No,No,0.421,0.095,-1.178,-3.561,No,No,No,No,No,No,No,0.206,No,Yes,0.821,No,No,3.348,3.08,No,No,0.286,2.342
doxorubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3C,-8.2,412.394,1.224,3,8,4,170.901,-3.782,0.396,72.25,-2.735,Yes,No,No,0.652,0.114,-1.225,-3.447,No,No,No,No,No,No,No,0.058,No,Yes,0.816,No,No,2.529,3.314,No,No,0.285,2.631
plicamycin,C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2C[C@@H](O[C@@H]([C@H]2O)C)OC3=CC4=CC5=C(C(=O)[C@H]([C@@H](C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7C[C@H]([C@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@@H]([C@H](O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(C)c(C)c(O)c3c(O)c2C(=O)[C@H]1C,-7.9,416.47,2.18474,5,7,4,174.465,-3.497,0.313,66.739,-2.752,Yes,No,No,0.342,0.17,-1.16,-3.347,No,No,No,No,No,No,No,0.752,No,No,0.466,No,Yes,2.957,1.843,No,No,0.308,1.045
Pirarubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O[C@@H]6CCCCO6,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3C,-8.2,412.394,1.224,3,8,4,170.901,-3.782,0.396,72.25,-2.735,Yes,No,No,0.652,0.114,-1.225,-3.447,No,No,No,No,No,No,No,0.058,No,Yes,0.816,No,No,2.529,3.314,No,No,0.285,2.631
Dactinomycin,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,CN[C@@H]1C(=O)N[C@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]1C,-9.1,495.621,-0.4071,3,7,2,207.422,-3.554,0.239,44.297,-2.996,Yes,No,No,-0.39,0.535,-0.552,-3.109,No,No,No,No,No,No,No,-0.282,No,No,0.284,No,No,2.433,2.528,Yes,No,0.285,5.868
Streptonigrin,CC1=C(C(=C(N=C1C(=O)O)C2=NC3=C(C=C2)C(=O)C(=C(C3=O)N)OC)N)C4=C(C(=C(C=C4)OC)OC)O,CC(=O)c1nc(C)c(N)c(C)c1C,-5.7,178.235,1.79166,1,3,1,77.977,-2.532,1.227,95.117,-2.867,No,No,No,0.11,0.502,0.232,-2.854,No,No,Yes,No,No,No,No,0.565,No,No,1.073,No,No,2.088,2.728,No,No,0.083,1.605
Puromycin,CN(C)C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)NC(=O)[C@H](CC4=CC=C(C=C4)OC)N)O,COc1ccc(C[C@H](N)C(C)=O)cc1,-5.4,193.246,1.154,4,3,1,83.871,-1.134,1.221,82.843,-2.637,No,No,No,0.562,0.566,-0.129,-2.564,No,No,No,No,No,No,No,0.967,No,No,0.604,No,No,2.481,2.728,No,Yes,0.127,1.834
irinotecan,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,CCc1c2c(nc3ccc(C)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,-9.6,390.439,2.95042,2,6,1,167.323,-3.778,1.284,100,-2.835,Yes,No,Yes,0.365,0.204,-0.15,-2.082,No,Yes,Yes,Yes,No,No,Yes,0.673,No,No,-0.051,No,Yes,2.576,1.796,Yes,No,0.311,0.554
Pirimicarb,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,COc1nc(N(C)C)nc(C)c1C,-5.3,181.239,1.16804,2,4,0,78.569,-1.547,1.738,100,-2.635,No,No,No,-0.22,0.564,-0.176,-2.958,No,No,No,No,No,No,No,0.634,No,No,1.169,No,No,2.29,2.147,Yes,Yes,0.11,1.86
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,CC(=O)c1ccccc1C,-5.4,134.178,2.19762,1,1,0,60.688,-2.249,1.201,96.313,-1.964,No,No,No,0.127,0.37,0.363,-1.903,No,No,Yes,No,No,No,No,0.305,No,No,1.135,No,No,1.734,2.036,No,Yes,0.152,1.429
etoposide,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](C)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,-8.1,398.411,3.1763,3,7,1,167.644,-4.382,1.276,97.47,-2.781,Yes,Yes,Yes,-0.225,0,-0.615,-3.066,No,Yes,No,Yes,Yes,No,Yes,-0.016,No,No,-0.174,No,No,2.248,1.245,No,No,0.303,-0.243
novobiocin,CC1=C(C=CC2=C1OC(=O)C(=C2O)NC(=O)C3=CC(=C(C=C3)O)CC=C(C)C)O[C@H]4[C@@H]([C@@H]([C@H](C(O4)(C)C)OC)OC(=O)N)O,CCCc1cc(C(C)=O)ccc1O,-6.8,178.231,2.5473,3,2,1,78.212,-2.163,1.475,94.542,-2.134,No,No,No,0.45,0.391,0.053,-2.08,No,No,Yes,No,No,No,No,0.27,No,No,0.682,No,No,2.182,2.145,No,Yes,0.675,0.992
teniposide,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H]([C@H]7[C@H](O6)CO[C@H](O7)C8=CC=CS8)O)O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](C)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,-8.1,398.411,3.1763,3,7,1,167.644,-4.382,1.276,97.47,-2.781,Yes,Yes,Yes,-0.225,0,-0.615,-3.066,No,Yes,No,Yes,Yes,No,Yes,-0.016,No,No,-0.174,No,No,2.248,1.245,No,No,0.303,-0.243
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CC(=O)C(C)c1ccc(CC(C)C)cc1,-6.6,204.313,3.5776,4,1,0,92.512,-4.667,1.287,96.374,-1.797,No,No,No,0.589,0.119,0.634,-1.594,No,No,Yes,No,No,No,No,0.306,No,No,0.868,No,No,1.743,1.244,No,Yes,1.754,-0.23
Moxifloxacin,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,COc1c(C)c(F)cc2c(=O)c(C(C)=O)cn(C)c12,-7.1,263.268,2.19722,2,4,0,108.97,-3.603,1.261,100,-2.65,No,No,No,-0.087,0.326,0.011,-2.503,No,No,Yes,Yes,No,No,No,0.634,No,No,0.938,No,No,2.54,1.294,No,No,0.659,1.606
Grepafloxacin,CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F,CC(=O)c1cn(C)c2cc(C)c(F)c(C)c2c1=O,-7.5,247.269,2.49704,1,3,0,103.856,-3.58,1.452,99.841,-2.407,No,No,No,0.096,0.337,0.429,-2.361,No,No,Yes,No,No,No,No,0.562,No,No,0.902,No,No,2.038,1.757,No,No,0.977,0.832
Dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,CN1CC(=O)NC(=O)C1,-4.7,128.131,-1.4254,0,3,1,52.826,0.38,1.068,91.135,-4.185,No,No,No,0.141,0.921,-0.274,-3.07,No,No,No,No,No,No,No,0.836,No,Yes,1.146,No,No,1.996,2.224,No,No,-1.206,3.392
Paracetamol,CC(=O)NC1=CC=C(C=C1)O,CNc1ccc(O)cc1,-5.3,123.155,1.4339,1,2,2,54.14,-1.396,1.247,92.021,-2.141,Yes,No,No,0.011,0.485,-0.159,-1.616,No,No,No,No,No,No,No,0.506,No,Yes,0.669,No,No,2.106,1.825,No,Yes,0.13,1.753
Enoxacin,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,CCn1cc(C(C)=O)c(=O)c2cc(F)c(C)nc21,-6.7,248.257,2.06652,2,4,0,103.076,-2.983,1.261,99.412,-2.444,No,No,No,-0.242,0.456,0.391,-2.893,No,No,Yes,No,No,No,No,0.69,No,No,0.749,No,No,2.679,1.245,Yes,No,0.354,2.229
Pefloxacin,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O,CCn1cc(C(C)=O)c(=O)c2cc(F)c(C)cc21,-7.3,247.269,2.67152,2,3,0,103.856,-3.681,1.105,99.116,-2.569,No,No,No,0.148,0.324,0.441,-2.456,No,No,Yes,Yes,No,No,No,0.644,No,No,0.922,No,No,2.265,1.691,No,No,0.891,0.934
Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,CC(=O)c1cn(C)c2cc(C)c(F)cc2c1=O,-7.4,233.242,2.18862,1,3,0,97.491,-3.196,1.479,99.246,-2.345,No,No,No,0.015,0.356,0.447,-2.296,No,No,Yes,No,No,No,No,0.573,No,No,0.811,No,No,1.875,1.724,Yes,No,0.95,0.855
Trovafloxacin,C1[C@@H]2[C@@H](C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,CC(=O)c1cn(C)c2nc(C)c(F)cc2c1=O,-6.7,234.23,1.58362,1,4,0,96.711,-2.495,1.258,99.403,-2.482,No,No,No,-0.31,0.446,0.553,-2.875,No,No,Yes,No,No,No,No,0.654,No,No,0.785,No,No,2.224,1.22,Yes,No,0.416,1.918
Penicillin G,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,CC(=O)Cc1ccccc1,-5.5,134.178,1.8181,2,1,0,60.688,-2.018,1.424,97.192,-1.907,No,No,No,0.15,0.34,0.428,-1.807,No,No,Yes,No,No,No,No,0.306,No,No,1.094,No,No,1.811,1.841,No,Yes,0.089,1.325
Nalidixic Acid,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,CCn1cc(C(C)=O)c(=O)c2ccc(C)nc21,-6.9,230.267,1.92742,2,4,0,98.91,-2.58,1.253,100,-2.463,No,No,No,-0.197,0.477,0.219,-2.856,No,No,Yes,No,No,No,No,0.761,No,No,0.505,No,No,2.424,2.338,Yes,No,0.301,2.062
Cinoxacin,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,CCn1nc(C(C)=O)c(=O)c2cc3c(cc21)OCO3,-7.2,260.249,1.3477,2,6,0,108.1,-2.863,1.461,97.94,-2.745,No,No,No,-0.341,0.291,-0.628,-2.93,No,Yes,No,No,No,No,No,0.56,No,Yes,0.815,No,No,2.586,0.922,Yes,No,0.469,1.648
Lomefloxacin,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,CCn1cc(C(C)=O)c(=O)c2cc(F)c(C)c(F)c21,-7.4,265.259,2.81062,2,3,0,108.022,-4.026,1.372,98.961,-2.687,No,No,No,0.075,0.34,0.585,-2.514,No,No,Yes,Yes,No,No,No,0.57,No,No,1.046,No,No,2.389,1.209,No,No,0.824,0.642
Gatifloxacin,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,COc1c(C)c(F)cc2c(=O)c(C(C)=O)cn(C)c12,-7.1,263.268,2.19722,2,4,0,108.97,-3.603,1.261,100,-2.65,No,No,No,-0.087,0.326,0.011,-2.503,No,No,Yes,Yes,No,No,No,0.634,No,No,0.938,No,No,2.54,1.294,No,No,0.659,1.606
Norfloxacin,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,CCn1cc(C(C)=O)c(=O)c2cc(F)c(C)cc21,-7.3,247.269,2.67152,2,3,0,103.856,-3.681,1.105,99.116,-2.569,No,No,No,0.148,0.324,0.441,-2.456,No,No,Yes,Yes,No,No,No,0.644,No,No,0.922,No,No,2.265,1.691,No,No,0.891,0.934
Levofloxacin,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,CC(=O)c1cn2c3c(c(C)c(F)cc3c1=O)OC[C@@H]2C,-7.8,275.279,2.60502,1,4,0,114.329,-3.662,1.357,98.383,-2.618,No,No,No,0.041,0.28,0.575,-2.532,No,No,Yes,Yes,No,No,No,0.463,No,Yes,0.608,No,No,2.226,2.019,No,No,0.764,0.58
Fludarabine,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)F)N,Cn1cnc2c(N)nc(F)nc21,-5.6,167.147,0.0846,0,5,1,67.062,-1.824,0.633,96.433,-2.75,No,No,No,-0.064,0.714,-0.84,-3.03,No,No,No,No,No,No,No,0.512,No,Yes,0.702,No,No,2.312,0.551,Yes,No,0.285,2.794
Methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CCc1cnc2nc(N)nc(N)c2n1,-6.2,190.21,0.1466,1,6,2,80.401,-2.914,-0.032,72.617,-2.777,No,No,No,-0.144,0.602,-0.187,-3.458,No,No,No,No,No,No,No,0.141,No,No,0.562,No,No,2.218,1.853,Yes,No,0.216,2.379
Gemcitabine,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,C[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,-6.1,168.139,-0.2378,1,3,2,62.591,-0.614,1.168,94.396,-4.152,No,No,No,-0.265,0.826,-0.214,-3.428,No,No,No,No,No,No,No,0.613,No,No,1.227,No,No,1.972,0.969,No,No,-0.372,3.019
