DRUG SMILES,FRAG_SMILES
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3C
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3C
C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3C
C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,CCCNc1ccc(C)c2c1C(=O)c1c(O)ccc(O)c1C2=O
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](C)C1)C(=O)c1ccccc1C3=O
CCCCC(=O)OCC(=O)[C@]1(C[C@@H](C2=C(C1)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4OC)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O)NC(=O)C(F)(F)F)O,CCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](C)C1)C(=O)c1c(OC)cccc1C3=O
CC[C@]1(C[C@@H](C2=C(C3=C(C=C2[C@H]1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@@H]([C@@H](O6)C)O[C@H]7CCC(=O)[C@@H](O7)C)O)N(C)C)O,CC[C@@]1(O)C[C@H](C)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(C)=O
C1=CC(=C2C(=C1NCCN)C(=O)C3=C(C2=O)C=NC=C3)NCCN,Cc1ccc(C)c2c1C(=O)c1ccncc1C2=O
CC(=O)[C@]1(C[C@@H](C2=C(C1)C(=C3C(=C2O)C(=O)C4=CC=CC=C4C3=O)O)O[C@H]5C[C@@H]([C@@H](CO5)O)O)N,CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](C)C1)C(=O)c1ccccc1C3=O
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(/C(=N/NC(=O)C6=CC=CC=C6)/C)O)N)O,CN/N=C(\C)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](C)C1)C(=O)c1c(OC)cccc1C3=O
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)O)O)(C(=O)C)O)N)O,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](C)C1)C(=O)c1c(O)cccc1C3=O
CC(=O)NC1=CC=C(C=C1)O,CNc1ccc(O)cc1
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(/C(=N/NC(=O)CCCCCN6C(=O)C=CC6=O)/CO)O)N)O,CN/N=C(\CO)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](C)C1)C(=O)c1c(OC)cccc1C3=O
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)CO)O)I)O)O,C[C@H]1C[C@](O)(C(=O)CO)Cc2c(O)c3c(c(O)c21)C(=O)c1ccccc1C3=O
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@@H](O[C@H](C[C@@H]2O)O[C@H]3C[C@@](CC4=C3C(=C5C(=C4O)C(=O)C6=CC=CC=C6C5=O)O)(C(=O)CO)O)C)N)O,C[C@H]1C[C@](O)(C(=O)CO)Cc2c(O)c3c(c(O)c21)C(=O)c1ccccc1C3=O
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3C
C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2C[C@@H](O[C@@H]([C@H]2O)C)OC3=CC4=CC5=C(C(=O)[C@H]([C@@H](C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7C[C@H]([C@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@@H]([C@H](O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(C)c(C)c(O)c3c(O)c2C(=O)[C@H]1C
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O[C@@H]6CCCCO6,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3C
C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,CN[C@@H]1C(=O)N[C@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]1C
CC1=C(C(=C(N=C1C(=O)O)C2=NC3=C(C=C2)C(=O)C(=C(C3=O)N)OC)N)C4=C(C(=C(C=C4)OC)OC)O,CC(=O)c1nc(C)c(N)c(C)c1C
CN(C)C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)NC(=O)[C@H](CC4=CC=C(C=C4)OC)N)O,COc1ccc(C[C@H](N)C(C)=O)cc1
CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,CCc1c2c(nc3ccc(C)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,COc1nc(N(C)C)nc(C)c1C
CC(=O)OC1=CC=CC=C1C(=O)O,CC(=O)c1ccccc1C
C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](C)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
CC1=C(C=CC2=C1OC(=O)C(=C2O)NC(=O)C3=CC(=C(C=C3)O)CC=C(C)C)O[C@H]4[C@@H]([C@@H]([C@H](C(O4)(C)C)OC)OC(=O)N)O,CCCc1cc(C(C)=O)ccc1O
COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H]([C@H]7[C@H](O6)CO[C@H](O7)C8=CC=CS8)O)O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](C)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CC(=O)C(C)c1ccc(CC(C)C)cc1
COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,COc1c(C)c(F)cc2c(=O)c(C(C)=O)cn(C)c12
CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F,CC(=O)c1cn(C)c2cc(C)c(F)c(C)c2c1=O
C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,CN1CC(=O)NC(=O)C1
CC(=O)NC1=CC=C(C=C1)O,CNc1ccc(O)cc1
CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,CCn1cc(C(C)=O)c(=O)c2cc(F)c(C)nc21
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O,CCn1cc(C(C)=O)c(=O)c2cc(F)c(C)cc21
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,CC(=O)c1cn(C)c2cc(C)c(F)cc2c1=O
C1[C@@H]2[C@@H](C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,CC(=O)c1cn(C)c2nc(C)c(F)cc2c1=O
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,CC(=O)Cc1ccccc1
CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,CCn1cc(C(C)=O)c(=O)c2ccc(C)nc21
CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,CCn1nc(C(C)=O)c(=O)c2cc3c(cc21)OCO3
CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,CCn1cc(C(C)=O)c(=O)c2cc(F)c(C)c(F)c21
CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,COc1c(C)c(F)cc2c(=O)c(C(C)=O)cn(C)c12
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,CCn1cc(C(C)=O)c(=O)c2cc(F)c(C)cc21
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,CC(=O)c1cn2c3c(c(C)c(F)cc3c1=O)OC[C@@H]2C
C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)F)N,Cn1cnc2c(N)nc(F)nc21
