name,SMILES
mol_1,CC(=O)NCC1CN(c2ccc(-c3ccno3)c(F)c2)C(=O)O1
mol_2,CSCC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
mol_3,O=C(CCc1ccccc1)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
mol_4,O=C(CCOc1ccc(Cl)cc1Cl)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
mol_5,C=CCCC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
mol_6,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCN(C(C)c3ccc(C(F)(F)F)cc3)C(C)C2)CC1
mol_7,Cc1oc2c(C)c3oc(=O)cc(C)c3cc2c1COCCN
mol_8,Cc1c(C(C)OC(=O)CCC(=O)O)oc2ccc(C3=CC(=O)OC3)cc12
mol_9,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(CCN3CCN(C(c4ccccc4)c4ccccc4)CC3)nc21
mol_10,CCCOc1ccn2c(C(C)=O)cc(-c3cccc(OC)c3)c2c1
mol_11,Cl.NC(=O)CNCCC(c1ccccc1)c1ccccc1
mol_12,CC=C(C)C(=O)OC1C(C)=CC23C(=O)C(C=C(COC(C)=O)C(O)C12O)C1C(CC3C)C1(C)C
mol_13,C=CC(C)(C)C12CC3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12
mol_14,Cn1cc(-c2cc(Oc3cc(F)c(NC(=O)C4(C(=O)Nc5ccccc5)CC4)cc3F)ccn2)cn1
mol_15,O=C(O)c1cc(Cl)c2c(c1Cl)C(=O)OC2=O
mol_16,CC(=O)NCC1CN(c2ccc(-c3cncs3)c(F)c2)C(=O)O1
mol_17,Br.Br.NCCCCCNCC12CC3CC(CC(C3)C1)C2
mol_18,CCCCCCCC(=O)C(CCCCCC)C(=O)NC(CO)CO
mol_19,COc1ccc(CNC(=O)c2cc([N+](=O)[O-])ccc2NC(C)CO)cc1OC
mol_20,CCC(NC(=O)c1cc(C(=O)N2CCCC2C)n2c1COCC2)c1ccccc1
mol_21,CC(C)(C)C(=O)ONC(Cc1ccccc1)C(=O)NC1CCc2ccccc2N(CC(F)(F)F)C1=O
mol_22,Cl.Cl.c1ccc2c(c1)CCC(CNCCCNC1=NCCCN1)O2
mol_23,c1ccc2c(CCNCCSSCCNCCc3c[nH]c4ccccc34)c[nH]c2c1
mol_24,CC=CC1OC(C(O)C=CC=C(C)CC(C)C=C(C)C=CC2CC=CC(=O)O2)CC(O)C1C
mol_25,CC(=CCOc1c(O)ccc2ccc(=O)oc12)CCCC(C)C
mol_26,Cl.O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccccc3)c2s1
mol_27,CC(C)(C)NCC(O)COc1ccc(O)c2c1CCC(=O)N2
mol_28,CC(=O)OC(C)C(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
mol_29,CC1CN(c2nc(C(F)(F)F)no2)CCN1c1ncc(OCc2ccc(CS(C)(=O)=O)cc2F)cn1
mol_30,CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12.Cl
