Name,SMILES,BestFragment,BestScore
,CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)C3=CC=NO3)F,Cc1ccc(C)c(F)c1,-5.8
,CSCC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,CNCC1CN(C)C(=O)O1,-4.8
,C1COCCN1C2=C(C=C(C=C2)N3CC(OC3=O)CNC(=O)CCC4=CC=CC=C4)F,CC(=O)CCc1ccccc1,-5.5
,C1COCCN1C2=C(C=C(C=C2)N3CC(OC3=O)CNC(=O)CCOC4=C(C=C(C=C4)Cl)Cl)F,Cc1ccc(C)c(F)c1,-5.8
,C=CCCC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,CNCC1CN(C)C(=O)O1,-4.8
,CC1CN(CCN1C(C)C2=CC=C(C=C2)C(F)(F)F)C3(CCN(CC3)C(=O)C4=C(C=C[N+](=C4C)[O-])C)C,CC(C)c1ccc(C(F)(F)F)cc1,-6.2
,CC1=CC(=O)OC2=C(C3=C(C=C12)C(=C(O3)C)COCCN)C,CCc1c(C)oc2c(C)c3oc(=O)cc(C)c3cc12,-8.1
,CC1=C(OC2=C1C=C(C=C2)C3=CC(=O)OC3)C(C)OC(=O)CCC(=O)O,Cc1c(C(C)C)oc2ccc(C3=CC(=O)OC3)cc12,-7.3
,CC(C)CN1C2=C(C(=O)N(C1=O)C)NC(=N2)CCN3CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5,CC(c1ccccc1)c1ccccc1,-6.7
,CCCOC1=CC2=C(C=C(N2C=C1)C(=O)C)C3=CC(=CC=C3)OC,CCCOc1ccn2c(C(C)=O)cc(C)c2c1,-6.2
,C1=CC=C(C=C1)C(CCNCC(=O)N)C2=CC=CC=C2.Cl,CCCC(c1ccccc1)c1ccccc1,-6.3
