SMILES,Canonical_SMILES
Cc1ccc(C)c(F)c1,Cc1ccc(C)c(F)c1
CNCC1CN(C)C(=O)O1,CNCC1CN(C)C(=O)O1
CC(=O)CCc1ccccc1,CC(=O)CCc1ccccc1
Cc1ccc(C)c(F)c1,Cc1ccc(C)c(F)c1
CNCC1CN(C)C(=O)O1,CNCC1CN(C)C(=O)O1
CC(C)c1ccc(C(F)(F)F)cc1,CC(C)c1ccc(C(F)(F)F)cc1
CCc1c(C)oc2c(C)c3oc(=O)cc(C)c3cc12,CCc1c(C)oc2c(C)c3oc(=O)cc(C)c3cc12
Cc1c(C(C)C)oc2ccc(C3=CC(=O)OC3)cc12,Cc1c(C(C)C)oc2ccc(C3=CC(=O)OC3)cc12
CC(c1ccccc1)c1ccccc1,CC(c1ccccc1)c1ccccc1
CCCOc1ccn2c(C(C)=O)cc(C)c2c1,CCCOc1ccn2c(C(C)=O)cc(C)c2c1
CCCC(c1ccccc1)c1ccccc1,CCCC(c1ccccc1)c1ccccc1
CCC1=C[C@@H]2C(=O)[C@]3(C=C(C)[C@H](OC)[C@@]3(O)[C@@H]1O)[C@H](C)C[C@@H]1[C@H]2C1(C)C,CCC1=CC2C(=O)C3(C=C(C)C(OC)C3(O)C1O)C(C)CC1C2C1(C)C
C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3[C@H]1N(C)c1ccccc12,C=CC(C)(C)C12CC3C(=O)Nc4ccccc4C(=O)N3C1N(C)c1ccccc12
CNc1cc(F)c(C)cc1F,CNc1cc(F)c(C)cc1F
CC(=O)c1cc(Cl)c2c(c1Cl)C(=O)OC2=O,CC(=O)c1cc(Cl)c2c(c1Cl)C(=O)OC2=O
Cc1ccc(C)c(F)c1,Cc1ccc(C)c(F)c1
CCC12CC3CC(CC(C3)C1)C2,CCC12CC3CC(CC(C3)C1)C2
CCCCCCCC(=O)C(CCCCCC)C(C)=O,CCCCCCCC(=O)C(CCCCCC)C(C)=O
