DRUG SMILES,FRAG_SMILES
CC(=O)NCC1CN(c2ccc(-c3ccno3)c(F)c2)C(=O)O1,Cc1ccc(C)c(F)c1
CSCC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CNCC1CN(C)C(=O)O1
O=C(CCc1ccccc1)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CC(=O)CCc1ccccc1
O=C(CCOc1ccc(Cl)cc1Cl)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,Cc1ccc(C)c(F)c1
C=CCCC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CNCC1CN(C)C(=O)O1
Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCN(C(C)c3ccc(C(F)(F)F)cc3)C(C)C2)CC1,CC(C)c1ccc(C(F)(F)F)cc1
Cc1oc2c(C)c3oc(=O)cc(C)c3cc2c1COCCN,CCc1c(C)oc2c(C)c3oc(=O)cc(C)c3cc12
Cc1c(C(C)OC(=O)CCC(=O)O)oc2ccc(C3=CC(=O)OC3)cc12,Cc1c(C(C)C)oc2ccc(C3=CC(=O)OC3)cc12
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(CCN3CCN(C(c4ccccc4)c4ccccc4)CC3)nc21,CC(c1ccccc1)c1ccccc1
CCCOc1ccn2c(C(C)=O)cc(-c3cccc(OC)c3)c2c1,CCCOc1ccn2c(C(C)=O)cc(C)c2c1
Cl.NC(=O)CNCCC(c1ccccc1)c1ccccc1,CCCC(c1ccccc1)c1ccccc1
CC=C(C)C(=O)OC1C(C)=CC23C(=O)C(C=C(COC(C)=O)C(O)C12O)C1C(CC3C)C1(C)C,CCC1=CC2C(=O)C3(C=C(C)C(OC)C3(O)C1O)C(C)CC1C2C1(C)C
C=CC(C)(C)C12CC3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12,C=CC(C)(C)C12CC3C(=O)Nc4ccccc4C(=O)N3C1N(C)c1ccccc12
Cn1cc(-c2cc(Oc3cc(F)c(NC(=O)C4(C(=O)Nc5ccccc5)CC4)cc3F)ccn2)cn1,CNc1cc(F)c(C)cc1F
O=C(O)c1cc(Cl)c2c(c1Cl)C(=O)OC2=O,CC(=O)c1cc(Cl)c2c(c1Cl)C(=O)OC2=O
CC(=O)NCC1CN(c2ccc(-c3cncs3)c(F)c2)C(=O)O1,Cc1ccc(C)c(F)c1
Br.Br.NCCCCCNCC12CC3CC(CC(C3)C1)C2,CCC12CC3CC(CC(C3)C1)C2
CCCCCCCC(=O)C(CCCCCC)C(=O)NC(CO)CO,CCCCCCCC(=O)C(CCCCCC)C(C)=O
COc1ccc(CNC(=O)c2cc([N+](=O)[O-])ccc2NC(C)CO)cc1OC,CNCc1ccc(OC)c(OC)c1
CCC(NC(=O)c1cc(C(=O)N2CCCC2C)n2c1COCC2)c1ccccc1,CCC(NC)c1ccccc1
CC(C)(C)C(=O)ONC(Cc1ccccc1)C(=O)NC1CCc2ccccc2N(CC(F)(F)F)C1=O,CNC1CCc2ccccc2N(C)C1=O
Cl.Cl.c1ccc2c(c1)CCC(CNCCCNC1=NCCCN1)O2,CCCCNC1=NCCCN1
